"","title","artist","year","id","lang"
"1","Physical","Olivia Newton-John",1982,"607314","en"
"2","Waiting For A Girl Like You","Foreigner",1982,"85733","en"
"3","Let's Groove","Earth and Wind and Fire",1982,"436316","en"
"4","I Can't Go For That (No Can Do)","Daryl Hall John Oates",1982,"235680","en"
"5","Young Turks","Rod Stewart",1982,"622976","en"
"6","Harden My Heart","Quarterflash",1982,"730025","en"
"7","Leather And Lace","Stevie Nicks With Don Henley",1982,"410185","en"
"8","Centerfold","The J. Geils Band",1982,"272092","en"
"9","Turn Your Love Around","George Benson",1982,"938555","en"
"10","Trouble","Lindsey Buckingham",1982,"1175148","en"
"11","Yesterday's Songs","Neil Diamond",1982,"227831","en"
"12","Comin' In And Out Of Your Life","Barbra Streisand",1982,"768519","en"
"13","The Sweetest Thing (I've Ever Known)","Juice Newton",1982,"709590","en"
"14","Hooked On Classics","Royal Philharmonic Orchestra",1982,"2195767","en"
"15","Why Do Fools Fall In Love","Diana Ross",1982,"2038313","en"
"16","Cool Night","Paul Davis",1982,"1439985","en"
"17","Take My Heart (You Can Have It If You Want It)","Kool and The Gang",1982,"672256","en"
"18","Don't Stop Believin'","Journey",1982,"54447","en"
"19","Someone Could Lose A Heart Tonight","Eddie Rabbitt",1982,"1340950","en"
"20","Waiting On A Friend","The Rolling Stones",1982,"1864024","en"
"21","Shake It Up","The Cars",1982,"893635","en"
"22","I Wouldn't Have Missed It For The World","Ronnie Milsap",1982,"1187605","en"
"23","Leader Of The Band","Dan Fogelberg",1982,"1900007","en"
"24","Come Go With Me","The Beach Boys",1982,"434804","en"
"25","Steal The Night","Stevie Woods",1982,"1106687","en"
"26","She's Got A Way","Billy Joel",1982,"342530","en"
"27","Our Lips Are Sealed","Go-Go's",1982,"602861","en"
"28","You Could Have Been With Me","Sheena Easton",1982,"1363953","en"
"29","Under Pressure","Queen and David Bowie",1982,"6868363","en"
"30","Take It Easy On Me","Little River Band",1982,"1448770","en"
"31","Oh No","Commodores",1982,"1607712","en"
"32","Sweet Dreams","Air Supply",1982,"1509423","en"
"33","Every Little Thing She Does Is Magic","The Police",1982,"100922","en"
"34","Here I Am (Just When I Thought I Was Over You)","Air Supply",1982,"1548176","en"
"35","Love Is Alright Tonite","Rick Springfield",1982,"1158339","en"
"36","Castles In The Air","Don McLean",1982,"444458","en"
"37","More Than Just The Two Of Us","Sneaker",1982,"888661","en"
