"","line","section_name","section_artist","song_name","artist_name","song_id"
"1","I have this thing where I get older, but just never wiser","Verse 1","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"2","Midnights become my afternoons","Verse 1","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"3","When my depression works the graveyard shift, all of the people","Verse 1","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"4","I've ghosted stand there in the room","Verse 1","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"5","I should not be left to my own devices","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"6","They come with prices and vices","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"7","I end up in crisis","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"8","(Tale as old as time)","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"9","I wake up screaming from dreaming","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"10","One day, I'll watch as you're leaving","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"11","'Cause you got tired of my scheming","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"12","(For the last time)","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"13","It's me, hi","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"14","I'm the problem, it's me","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"15","At teatime, everybody agrees","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"16","I'll stare directly at the sun, but never in the mirror","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"17","It must be exhausting always rooting for the anti-hero","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"18","Sometimes, I feel like everybody is a sexy baby","Verse 2","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"19","And I'm a monster on the hill","Verse 2","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"20","Too big to hang out, slowly lurching toward your favorite city","Verse 2","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"21","Pierced through the heart, but never killed","Verse 2","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"22","Did you hear my covert narcissism I disguise as altruism","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"23","Like some kind of congressman?","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"24","(A tale as old as time)","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"25","I wake up screaming from dreaming","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
