"","X1","line","section_name","section_artist","song_name","artist_name","song_id"
"1",1,"Never made it as a wise man","Verse 1","Nickelback","How You Remind Me","Nickelback","196442"
"2",2,"I couldn't cut it as a poor man stealing","Verse 1","Nickelback","How You Remind Me","Nickelback","196442"
"3",3,"Tired of livin' like a blind man","Verse 1","Nickelback","How You Remind Me","Nickelback","196442"
"4",4,"I'm sick of sight without a sense of feeling","Verse 1","Nickelback","How You Remind Me","Nickelback","196442"
"5",5,"And this is how you remind me","Verse 1","Nickelback","How You Remind Me","Nickelback","196442"
"6",6,"This is how you remind me of what I really am","Pre-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"7",7,"This is how you remind me of what I really am","Pre-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"8",8,"It's not like you to say sorry","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"9",9,"I was waitin' on a different story","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"10",10,"This time I'm mistaken","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"11",11,"For handing you a heart worth breakin'","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"12",12,"And I've been wrong, I've been down","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"13",13,"Been to the bottom of every bottle","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"14",14,"These five words in my head","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"15",15,"Scream, ""Are we havin' fun yet?""","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"16",16,"Yet, yet, yet, no, no","Post-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"17",17,"Yet, yet, yet, no, no","Post-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"18",18,"It's not like you didn't know that","Verse 2","Nickelback","How You Remind Me","Nickelback","196442"
"19",19,"I said, ""I love you,"" and I swear I still do","Verse 2","Nickelback","How You Remind Me","Nickelback","196442"
"20",20,"And it must have been so bad","Verse 2","Nickelback","How You Remind Me","Nickelback","196442"
"21",21,"'Cause livin' with me must have damn near killed you","Verse 2","Nickelback","How You Remind Me","Nickelback","196442"
"22",22,"And this is how you remind me of what I really am","Pre-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"23",23,"This is how you remind me of what I really am","Pre-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"24",24,"It's not like you to say sorry","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"25",25,"I was waitin' on a different story","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"26",26,"This time I'm mistaken","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"27",27,"For handing you a heart worth breakin'","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"28",28,"And I've been wrong, I've been down","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"29",29,"Been to the bottom of every bottle","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"30",30,"These five words in my head","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"31",31,"Scream, ""Are we havin' fun yet?""","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"32",32,"Yet, yet, yet, no, no","Post-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"33",33,"Yet, yet, yet, no, no","Post-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"34",34,"Yet, yet, yet, no, no","Post-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"35",35,"Yet, yet, yet, no, no","Post-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"36",36,"Never made it as a wise man","Bridge","Nickelback","How You Remind Me","Nickelback","196442"
"37",37,"I couldn't cut it as a poor man stealin'","Bridge","Nickelback","How You Remind Me","Nickelback","196442"
"38",38,"And this is how you remind me","Bridge","Nickelback","How You Remind Me","Nickelback","196442"
"39",39,"This is how you remind me","Bridge","Nickelback","How You Remind Me","Nickelback","196442"
"40",40,"This is how you remind me of what I really am","Pre-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"41",41,"This is how you remind me of what I really am","Pre-Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"42",42,"It's not like you to say sorry","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"43",43,"I was waitin' on a different story","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"44",44,"This time I'm mistaken","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"45",45,"For handing you a heart worth breakin'","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"46",46,"And I've been wrong, I've been down","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"47",47,"Been to the bottom of every bottle","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
"48",48,"These five words in my head","Chorus","Nickelback","How You Remind Me","Nickelback","196442"
