"","X1","line","section_name","section_artist","song_name","artist_name","song_id"
"1",1,"I don't want a lot for Christmas","Intro","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"2",2,"There is just one thing I need","Intro","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"3",3,"I don't care about the presents","Intro","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"4",4,"Underneath the Christmas tree","Intro","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"5",5,"I just want you for my own","Intro","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"6",6,"More than you could ever know","Intro","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"7",7,"Make my wish come true","Intro","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"8",8,"All I want for Christmas is you, yeah","Intro","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"9",9,"I don't want a lot for Christmas","Verse 1","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"10",10,"There is just one thing I need (And I)","Verse 1","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"11",11,"Don't care about the presents","Verse 1","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"12",12,"Underneath the Christmas tree","Verse 1","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"13",13,"I don't need to hang my stocking","Verse 1","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"14",14,"There upon the fireplace (Ah)","Verse 1","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"15",15,"Santa Claus won't make me happy","Verse 1","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"16",16,"With a toy on Christmas Day","Verse 1","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"17",17,"I just want you for my own (Ooh)","Chorus","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"18",18,"More than you could ever know (Ooh)","Chorus","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"19",19,"Make my wish come true","Chorus","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"20",20,"All I want for Christmas is you","Chorus","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"21",21,"You, baby","Chorus","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"22",22,"Oh, I won't ask for much this Christmas","Verse 2","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"23",23,"I won't even wish for snow (And I)","Verse 2","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"24",24,"I'm just gonna keep on waiting","Verse 2","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"25",25,"Underneath the mistletoe","Verse 2","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"26",26,"I won't make a list and send it","Verse 2","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"27",27,"To the North Pole for Saint Nick (Ah)","Verse 2","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"28",28,"I won't even stay awake to","Verse 2","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"29",29,"Hear those magic reindeer click","Verse 2","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"30",30,"'Cause I just want you here tonight (Ooh)","Chorus","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"31",31,"Holding on to me so tight (Ooh)","Chorus","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"32",32,"What more can I do?","Chorus","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"33",33,"Oh baby, all I want for Christmas is you","Chorus","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"34",34,"You, baby","Chorus","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"35",35,"Oh, all the lights are shining","Bridge","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"36",36,"So brightly everywhere (So brightly, baby)","Bridge","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"37",37,"And the sound of children's","Bridge","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"38",38,"Laughter fills the air (Oh, oh yeah)","Bridge","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"39",39,"And everyone is singing (Oh yeah)","Bridge","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"40",40,"I hear those sleigh bells ringing (Oh)","Bridge","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"41",41,"Santa, won't you bring me the one I really need? (Yeah, oh, oh)","Bridge","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"42",42,"Won't you please bring my baby to me?","Bridge","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
"43",43,"Oh, I don't want a lot for Christmas","Verse 3","Mariah Carey","All I Want for Christmas Is You","Mariah Carey",204233
