title,artist,year
Physical,Olivia Newton-John,1982
Waiting For A Girl Like You,Foreigner,1982
Let's Groove,"Earth, Wind & Fire",1982
I Can't Go For That (No Can Do),Daryl Hall John Oates,1982
Young Turks,Rod Stewart,1982
Harden My Heart,Quarterflash,1982
Leather And Lace,Stevie Nicks With Don Henley,1982
Centerfold,The J. Geils Band,1982
Turn Your Love Around,George Benson,1982
Trouble,Lindsey Buckingham,1982
Yesterday's Songs,Neil Diamond,1982
Comin' In And Out Of Your Life,Barbra Streisand,1982
The Sweetest Thing (I've Ever Known),Juice Newton,1982
Hooked On Classics,Royal Philharmonic Orchestra,1982
Why Do Fools Fall In Love,Diana Ross,1982
Cool Night,Paul Davis,1982
Take My Heart (You Can Have It If You Want It),Kool & The Gang,1982
Don't Stop Believin',Journey,1982
Someone Could Lose A Heart Tonight,Eddie Rabbitt,1982
Waiting On A Friend,The Rolling Stones,1982
Shake It Up,The Cars,1982
I Wouldn't Have Missed It For The World,Ronnie Milsap,1982
Leader Of The Band,Dan Fogelberg,1982
Come Go With Me,The Beach Boys,1982
Steal The Night,Stevie Woods,1982
She's Got A Way,Billy Joel,1982
Our Lips Are Sealed,Go-Go's,1982
You Could Have Been With Me,Sheena Easton,1982
Under Pressure,Queen & David Bowie,1982
Take It Easy On Me,Little River Band,1982
Oh No,Commodores,1982
Sweet Dreams,Air Supply,1982
Every Little Thing She Does Is Magic,The Police,1982
Here I Am (Just When I Thought I Was Over You),Air Supply,1982
Love Is Alright Tonite,Rick Springfield,1982
Castles In The Air,Don McLean,1982
More Than Just The Two Of Us,Sneaker,1982
"My Girl (Gone, Gone, Gone)",Chilliwack,1982
Heart Like A Wheel,The Steve Miller Band,1982
Working For The Weekend,Loverboy,1982
Love In The First Degree,Alabama,1982
Key Largo,Bertie Higgins,1982
Private Eyes,Daryl Hall John Oates,1982
All Our Tomorrows,Eddie Schwartz,1982
If I Were You,Lulu,1982
My Kinda Lover,Billy Squier,1982
Start Me Up,The Rolling Stones,1982
Let Me Love You Once,Greg Lake,1982
Somewhere Down The Road,Barry Manilow,1982
Breakin' Away,Al Jarreau,1982
Sea Of Love,Del Shannon,1982
Little Darlin',Sheila,1982
The Old Songs,Barry Manilow,1982
Could It Be Love,Jennifer Warnes,1982
Feel Like A Number,Bob Seger & The Silver Bullet Band,1982
Arthur's Theme (Best That You Can Do),Christopher Cross,1982
Abacab,Genesis,1982
Keeping Our Love Alive,Henry Paul Band,1982
Falling In Love,Balance,1982
Poor Man's Son,Survivor,1982
No Reply At All,Genesis,1982
Never Too Much,Luther Vandross,1982
Wrack My Brain,Ringo Starr,1982
Those Good Old Dreams,Carpenters,1982
Wkrp In Cincinnati,Steve Carlisle,1982
Tryin' To Live My Life Without You,Bob Seger,1982
Love Is Like A Rock,Donnie Iris,1982
Through The Years,Kenny Rogers,1982
Closer To The Heart,Rush,1982
One Hundred Ways,Quincy Jones Featuring James Ingram,1982
Every Home Should Have One,Patti Austin,1982
Southern Pacific,Neil Young / Crazy Horse,1982
Crazy (Keep On Falling),The John Hall Band,1982
A World Without Heroes,KISS,1982
Tonight Tonight,Bill Champlin,1982
Pac-Man Fever,Buckner & Garcia,1982
The Theme From Hill Street Blues,Mike Post featuring Larry Carlton,1982
Living Eyes,Bee Gees,1982
Anyone Can See,Irene Cara,1982
"Mirror, Mirror",Diana Ross,1982
Let The Feeling Flow,Peabo Bryson,1982
Just Once,Quincy Jones Featuring James Ingram,1982
"You're My Latest, My Greatest Inspiration",Teddy Pendergrass,1982
Runaway Rita,Leif Garrett,1982
Chariots Of Fire - Titles,Vangelis,1982
I've Done Everything For You,Rick Springfield,1982
When All Is Said And Done,ABBA,1982
It's My Party,Dave Stewart and Barbara Gaskin,1982
Can't Hold Back (Your Loving),Kano,1982
The Night Owls,Little River Band,1982
The Woman In Me,Crystal Gayle,1982
